node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,approx_method
923,39,87.76,25.51,1,74.49,32,0.86,ROUNDING_UP
447,29,94.18,4.98,1,95.02,28,0.23,ROUNDING_UP
808,36,21.41,68.83,1,27.69,6,0.31,ROUNDING_UP
422,28,94.08,20.37,1,79.63,27,0.18,ROUNDING_UP
1478,48,49.12,38.07,1,61.93,20,1.54,ROUNDING_UP
1116,42,88.26,72.26,1,27.74,33,1.23,ROUNDING_UP
1400,46,95.29,62.19,1,37.81,41,1.9,ROUNDING_UP
52,11,75.0,46.0,1,53.71,10,0.0,ROUNDING_UP
805,37,100.0,20.36,1,79.64,18,0.61,ROUNDING_UP
120,16,88.33,53.55,1,46.41,15,0.02,ROUNDING_UP
643,33,94.25,54.5,1,45.5,31,0.42,ROUNDING_UP
1381,47,95.73,89.3,1,10.7,44,1.94,ROUNDING_UP
73,14,83.56,53.32,1,46.58,13,0.01,ROUNDING_UP
300,24,91.33,13.6,1,86.4,23,0.09,ROUNDING_UP
546,31,95.05,40.3,1,59.7,30,0.32,ROUNDING_UP
558,31,92.83,74.65,1,25.35,30,0.33,ROUNDING_UP
470,29,94.04,7.38,1,92.62,28,0.2,ROUNDING_UP
64,12,84.38,45.34,1,53.1,11,0.01,ROUNDING_UP
384,29,40.89,97.46,1,1.6,14,0.11,ROUNDING_UP
1300,46,34.23,28.31,1,71.69,14,1.06,ROUNDING_UP
330,24,83.94,41.92,1,58.08,18,0.11,ROUNDING_UP
1509,50,75.02,2.39,1,97.61,36,1.98,ROUNDING_UP
766,36,29.5,12.12,1,87.83,12,0.28,ROUNDING_UP
178,20,92.13,71.56,1,28.4,19,0.03,ROUNDING_UP
1009,40,100.0,49.12,1,50.88,37,1.0,ROUNDING_UP
84,14,55.95,11.69,1,87.84,8,0.01,ROUNDING_UP
180,19,91.67,20.26,1,79.74,18,0.04,ROUNDING_UP
77,13,79.22,71.15,1,28.45,12,0.01,ROUNDING_UP
606,32,93.89,63.99,1,36.01,31,0.35,ROUNDING_UP
170,18,52.94,85.7,1,12.43,10,0.03,ROUNDING_UP
996,39,73.09,41.23,1,58.77,25,0.88,ROUNDING_UP
1452,48,49.38,45.35,1,54.65,22,1.67,ROUNDING_UP
819,37,77.17,89.95,1,10.05,24,0.65,ROUNDING_UP
598,32,94.65,62.29,1,37.71,31,0.37,ROUNDING_UP
1438,47,0.0,0.0,1,25.66,1,0.02,ROUNDING_UP
29,11,79.31,79.88,1,18.55,10,0.0,ROUNDING_UP
96,15,84.38,14.89,1,85.1,14,0.01,ROUNDING_UP
116,16,85.34,72.01,1,27.89,10,0.02,ROUNDING_UP
888,39,15.43,15.4,1,84.02,5,0.24,ROUNDING_UP
139,18,89.93,86.88,1,13.12,17,0.02,ROUNDING_UP
503,30,95.43,59.55,1,40.45,29,0.29,ROUNDING_UP
32,11,65.62,77.34,1,13.28,8,0.0,ROUNDING_UP
1332,46,95.05,80.52,1,19.48,45,1.77,ROUNDING_UP
1635,50,37.61,72.0,1,28.0,19,1.7,ROUNDING_UP
466,28,93.13,60.07,1,39.93,27,0.21,ROUNDING_UP
63,13,55.56,75.44,1,9.33,8,0.01,ROUNDING_UP
198,22,61.62,95.93,1,3.76,12,0.04,ROUNDING_UP
1273,45,96.39,70.7,1,29.3,44,1.53,ROUNDING_UP
1167,43,95.97,19.57,1,80.43,42,1.29,ROUNDING_UP
1176,44,96.85,38.44,1,61.56,43,1.26,ROUNDING_UP
656,33,94.05,58.75,1,41.25,29,0.45,ROUNDING_UP
139,18,91.37,82.37,1,17.61,17,0.03,ROUNDING_UP
845,38,84.38,85.61,1,14.39,27,0.75,ROUNDING_UP
22,12,45.45,0.24,1,99.61,11,0.0,ROUNDING_UP
1265,44,46.8,47.6,1,52.4,19,1.4,ROUNDING_UP
1481,49,96.08,95.99,1,4.01,43,2.48,ROUNDING_UP
32,9,71.88,18.55,1,81.25,9,0.0,ROUNDING_UP
97,14,86.6,48.19,1,51.62,13,0.01,ROUNDING_UP
583,32,59.35,66.85,1,33.15,17,0.3,ROUNDING_UP
455,28,93.41,43.16,1,56.84,27,0.26,ROUNDING_UP
104,16,83.65,96.09,1,3.42,15,0.02,ROUNDING_UP
25,10,76.0,74.61,1,23.83,10,0.0,ROUNDING_UP
718,36,95.26,1.96,1,98.04,35,0.53,ROUNDING_UP
959,39,53.39,59.34,1,40.65,20,0.75,ROUNDING_UP
539,31,91.47,87.33,1,12.67,27,0.32,ROUNDING_UP
963,39,54.93,40.56,1,59.44,19,0.77,ROUNDING_UP
254,22,42.91,22.72,1,76.44,9,0.05,ROUNDING_UP
590,31,72.71,53.55,1,46.45,20,0.36,ROUNDING_UP
54,11,81.48,29.98,1,69.92,10,0.0,ROUNDING_UP
254,22,92.52,61.88,1,38.11,21,0.07,ROUNDING_UP
661,34,96.37,92.44,1,7.56,33,0.45,ROUNDING_UP
1418,47,100.0,28.36,1,71.64,22,1.88,ROUNDING_UP
204,20,93.14,79.45,1,20.54,19,0.06,ROUNDING_UP
1286,45,100.0,11.82,1,88.18,20,1.5,ROUNDING_UP
511,30,53.03,93.48,1,6.46,15,0.24,ROUNDING_UP
445,29,44.72,82.7,1,16.94,12,0.17,ROUNDING_UP
532,31,92.48,93.55,1,6.45,28,0.3,ROUNDING_UP
130,17,84.62,48.11,1,51.89,16,0.02,ROUNDING_UP
1184,44,7.18,19.99,1,74.08,3,0.21,ROUNDING_UP
325,25,6.15,2.46,1,94.58,5,0.02,ROUNDING_UP
413,27,93.95,30.09,1,69.91,26,0.17,ROUNDING_UP
592,32,95.44,79.23,1,20.77,31,0.37,ROUNDING_UP
502,30,32.87,48.81,1,50.65,9,0.18,ROUNDING_UP
352,25,91.19,68.06,1,31.94,23,0.14,ROUNDING_UP
129,17,10.85,8.43,1,73.95,3,0.01,ROUNDING_UP
1317,45,11.01,30.78,1,66.11,4,0.38,ROUNDING_UP
134,18,100.0,91.35,1,8.65,18,0.02,ROUNDING_UP
1115,42,57.49,77.7,1,22.3,22,1.08,ROUNDING_UP
16,9,81.25,85.74,1,1.76,9,0.0,ROUNDING_UP
118,16,88.98,46.06,1,53.93,15,0.02,ROUNDING_UP
530,30,55.09,69.6,1,30.39,13,0.25,ROUNDING_UP
467,29,100.0,9.55,1,90.45,28,0.21,ROUNDING_UP
1302,45,92.01,72.13,1,27.87,37,1.84,ROUNDING_UP
487,29,1.23,1.44,1,71.94,2,0.01,ROUNDING_UP
1195,44,8.03,62.14,1,6.32,5,0.28,ROUNDING_UP
1025,41,28.59,17.08,1,82.87,10,0.5,ROUNDING_UP
319,24,93.73,21.75,1,78.25,20,0.1,ROUNDING_UP
294,25,94.22,94.54,1,5.46,24,0.1,ROUNDING_UP
909,38,58.97,83.0,1,17.0,22,0.72,ROUNDING_UP
862,37,95.36,34.77,1,65.23,36,0.76,ROUNDING_UP
69,15,86.96,14.56,1,85.25,14,0.01,ROUNDING_UP
4050,77,76.57,9.21,1,90.79,55,15.58,ROUNDING_UP
1200,43,96.42,50.47,1,49.53,42,1.34,ROUNDING_UP
2298,59,97.43,25.52,1,74.48,58,4.91,ROUNDING_UP
7075,100,46.04,85.85,1,14.15,44,37.79,ROUNDING_UP
784,40,94.39,0.26,1,99.74,39,0.53,ROUNDING_UP
3321,70,16.29,58.35,1,41.47,12,3.78,ROUNDING_UP
184,22,94.02,99.35,1,0.6,21,0.05,ROUNDING_UP
2437,61,55.15,87.84,1,12.16,32,4.95,ROUNDING_UP
229,22,92.58,52.83,1,47.17,21,0.06,ROUNDING_UP
574,31,95.3,73.96,1,26.04,30,0.35,ROUNDING_UP
1077,41,96.29,41.42,1,58.58,40,1.06,ROUNDING_UP
656,33,95.43,23.74,1,76.26,32,0.41,ROUNDING_UP
1021,42,95.0,5.95,1,94.05,41,1.04,ROUNDING_UP
4380,79,98.22,79.42,1,20.58,78,18.59,ROUNDING_UP
95,15,92.63,87.25,1,11.97,14,0.01,ROUNDING_UP
229,23,91.7,2.68,1,97.32,22,0.05,ROUNDING_UP
4966,84,92.15,44.74,1,55.26,73,23.21,ROUNDING_UP
273,23,93.04,87.58,1,12.42,22,0.08,ROUNDING_UP
2759,64,54.48,83.06,1,16.94,33,6.35,ROUNDING_UP
72,13,88.89,53.27,1,46.34,12,0.01,ROUNDING_UP
3067,67,17.02,68.24,1,31.57,11,2.97,ROUNDING_UP
2740,64,46.75,34.4,1,65.6,29,5.32,ROUNDING_UP
6837,98,12.83,55.91,1,44.03,10,11.6,ROUNDING_UP
911,38,95.5,26.15,1,73.85,37,0.78,ROUNDING_UP
2939,67,89.35,8.02,1,91.98,54,7.42,ROUNDING_UP
2568,63,68.81,91.02,1,8.98,40,5.88,ROUNDING_UP
5724,90,69.1,75.74,1,24.26,59,27.77,ROUNDING_UP
4035,77,34.85,81.43,1,18.57,26,9.24,ROUNDING_UP
455,28,94.73,26.99,1,73.01,27,0.22,ROUNDING_UP
3278,69,52.84,43.11,1,56.89,34,7.77,ROUNDING_UP
4150,78,100.0,17.21,1,82.79,18,14.88,ROUNDING_UP
1305,46,96.17,79.7,1,20.3,45,1.61,ROUNDING_UP
1650,51,96.79,81.07,1,18.93,50,2.57,ROUNDING_UP
244,22,91.39,19.24,1,80.76,21,0.06,ROUNDING_UP
4796,84,16.47,95.36,1,4.55,16,7.48,ROUNDING_UP
69,13,81.16,80.38,1,19.42,12,0.01,ROUNDING_UP
1136,43,96.92,63.96,1,36.04,42,1.31,ROUNDING_UP
6743,97,78.56,32.42,1,67.58,72,40.78,ROUNDING_UP
5102,86,98.26,5.93,1,94.07,85,23.22,ROUNDING_UP
2225,59,97.62,5.77,1,94.23,58,5.24,ROUNDING_UP
2612,63,97.47,34.8,1,65.2,62,7.56,ROUNDING_UP
65,13,46.15,30.1,1,65.41,4,0.01,ROUNDING_UP
780,37,91.41,64.07,1,35.93,29,0.57,ROUNDING_UP
95,15,76.84,12.26,1,87.71,14,0.01,ROUNDING_UP
334,25,18.56,60.11,1,36.13,3,0.04,ROUNDING_UP
82,13,89.02,64.37,1,35.44,12,0.01,ROUNDING_UP
422,27,93.36,29.66,1,70.34,25,0.21,ROUNDING_UP
5081,85,5.88,45.0,1,51.9,4,3.44,ROUNDING_UP
6017,92,41.27,61.78,1,38.22,38,25.22,ROUNDING_UP
3005,67,79.23,90.71,1,9.29,50,8.11,ROUNDING_UP
2057,55,97.23,57.13,1,42.87,54,4.1,ROUNDING_UP
64,13,85.94,85.35,1,13.48,12,0.01,ROUNDING_UP
462,28,51.95,72.6,1,27.32,13,0.18,ROUNDING_UP
801,36,90.01,53.66,1,46.34,30,0.63,ROUNDING_UP
34,10,70.59,37.3,1,62.11,9,0.0,ROUNDING_UP
138,17,0.0,0.0,1,49.9,1,0.0,ROUNDING_UP
1401,48,20.13,77.04,1,22.34,9,0.83,ROUNDING_UP
4512,81,98.27,76.62,1,23.38,80,18.99,ROUNDING_UP
3759,74,97.77,51.48,1,48.52,73,13.21,ROUNDING_UP
2213,59,82.24,3.35,1,96.65,46,4.4,ROUNDING_UP
983,39,96.03,44.16,1,55.84,38,0.94,ROUNDING_UP
728,35,95.74,80.04,1,19.96,34,0.52,ROUNDING_UP
495,31,90.1,74.6,1,25.4,25,0.24,ROUNDING_UP
5185,86,59.46,31.48,1,68.52,49,22.07,ROUNDING_UP
3663,73,6.72,62.7,1,30.8,6,2.19,ROUNDING_UP
301,24,92.36,88.55,1,11.44,23,0.1,ROUNDING_UP
3788,74,98.07,44.18,1,55.82,73,13.57,ROUNDING_UP
4063,77,59.44,72.05,1,27.95,43,13.65,ROUNDING_UP
3435,72,66.35,95.53,1,4.47,45,10.32,ROUNDING_UP
2602,62,9.61,36.24,1,61.72,6,1.35,ROUNDING_UP
736,35,91.03,64.18,1,35.82,31,0.5,ROUNDING_UP
3364,70,92.54,33.02,1,66.98,59,9.88,ROUNDING_UP
56,12,82.14,41.6,1,58.3,11,0.01,ROUNDING_UP
3925,75,97.81,76.13,1,23.87,73,14.18,ROUNDING_UP
155,18,50.32,20.75,1,78.39,8,0.02,ROUNDING_UP
832,37,95.79,91.29,1,8.71,36,0.7,ROUNDING_UP
3039,67,60.68,27.2,1,72.8,38,7.26,ROUNDING_UP
5320,87,11.02,77.5,1,22.17,10,6.45,ROUNDING_UP
6829,98,43.92,26.88,1,73.12,42,30.06,ROUNDING_UP
3236,69,96.63,23.07,1,76.93,65,9.21,ROUNDING_UP
381,27,16.01,61.39,1,25.67,4,0.06,ROUNDING_UP
263,22,100.0,88.2,1,11.8,7,0.08,ROUNDING_UP
6777,98,66.5,85.54,1,14.46,63,40.28,ROUNDING_UP
6167,94,98.1,25.37,1,74.63,93,34.96,ROUNDING_UP
6517,96,6.35,70.65,1,24.0,7,6.35,ROUNDING_UP
616,33,94.81,83.0,1,17.0,32,0.37,ROUNDING_UP
5093,86,89.48,57.89,1,42.11,73,23.29,ROUNDING_UP
6353,95,79.82,83.6,1,16.4,72,36.64,ROUNDING_UP
1638,50,68.99,16.43,1,83.57,31,2.12,ROUNDING_UP
603,33,95.85,91.91,1,8.09,32,0.36,ROUNDING_UP
223,21,89.24,19.51,1,80.48,20,0.05,ROUNDING_UP
2143,57,56.7,81.34,1,18.66,31,3.66,ROUNDING_UP
1134,42,78.75,21.08,1,78.92,30,1.12,ROUNDING_UP
1456,47,96.77,45.16,1,54.84,46,1.98,ROUNDING_UP
141,17,90.78,47.65,1,52.34,16,0.02,ROUNDING_UP
2343,60,27.36,11.53,1,88.47,16,2.49,ROUNDING_UP
1501,49,97.4,84.28,1,15.72,48,2.11,ROUNDING_UP
4284,79,100.0,17.22,1,82.78,28,16.0,ROUNDING_UP
431,28,93.5,9.42,1,90.58,27,0.17,ROUNDING_UP
3008,67,15.39,66.75,1,32.67,9,2.69,ROUNDING_UP
4915,84,50.21,84.61,1,15.39,40,16.92,ROUNDING_UP
1811,53,97.46,8.71,1,91.29,52,2.92,ROUNDING_UP
1617,50,97.34,52.62,1,47.38,49,2.43,ROUNDING_UP
5339,87,18.84,82.88,1,17.11,16,9.78,ROUNDING_UP
2655,63,97.66,89.04,1,10.96,62,6.49,ROUNDING_UP
3736,74,11.0,69.95,1,29.4,7,2.97,ROUNDING_UP
2992,67,12.37,25.23,1,74.63,9,1.96,ROUNDING_UP
910,39,96.26,9.72,1,90.28,38,0.81,ROUNDING_UP
105,16,45.71,21.57,1,77.68,7,0.01,ROUNDING_UP
5898,92,13.45,88.26,1,11.62,13,9.04,ROUNDING_UP
5934,92,61.96,43.78,1,56.22,54,29.03,ROUNDING_UP
996,41,63.96,65.89,1,34.11,22,0.8,ROUNDING_UP
4457,80,78.06,75.71,1,24.29,59,17.13,ROUNDING_UP
610,32,11.48,41.8,1,45.82,4,0.11,ROUNDING_UP
1477,48,97.16,68.94,1,31.06,47,2.05,ROUNDING_UP
181,19,87.85,66.85,1,33.14,18,0.04,ROUNDING_UP
3378,70,95.41,80.85,1,19.15,63,11.56,ROUNDING_UP
2541,62,97.05,17.0,1,83.0,61,5.77,ROUNDING_UP
110,15,86.36,41.5,1,58.46,14,0.01,ROUNDING_UP
191,20,92.15,91.71,1,8.28,19,0.05,ROUNDING_UP
2777,64,44.94,89.57,1,10.43,27,5.45,ROUNDING_UP
134,18,86.57,38.01,1,61.97,17,0.02,ROUNDING_UP
299,25,91.3,3.55,1,96.45,24,0.12,ROUNDING_UP
4917,84,64.1,41.88,1,58.12,50,22.31,ROUNDING_UP
216,21,91.67,87.93,1,12.05,20,0.05,ROUNDING_UP
442,29,94.12,6.27,1,93.73,28,0.2,ROUNDING_UP
268,23,91.42,91.78,1,8.22,22,0.07,ROUNDING_UP
659,34,44.01,78.6,1,21.37,14,0.38,ROUNDING_UP
2024,56,97.18,84.77,1,15.23,55,5.02,ROUNDING_UP
